state,date,mean_bed,mean_icu_bed,mean_daily_death,admis_mean,newICU_mean
California,6/1/2020,710.29 ,180.31 ,14.11 ,82.21 ,19.04 
California,6/2/2020,693.33 ,176.12 ,13.65 ,80.70 ,18.64 
California,6/3/2020,677.44 ,172.02 ,13.23 ,78.49 ,18.23 
California,6/4/2020,662.39 ,168.06 ,12.97 ,76.22 ,17.92 
California,6/5/2020,646.81 ,163.69 ,12.74 ,72.88 ,17.19 
California,6/6/2020,629.63 ,159.11 ,12.55 ,69.76 ,16.51 
California,6/7/2020,613.66 ,154.96 ,12.30 ,69.74 ,16.41 
California,6/8/2020,593.29 ,150.04 ,12.01 ,64.02 ,15.22 
California,6/9/2020,571.70 ,145.02 ,11.70 ,61.32 ,14.60 
California,6/10/2020,549.65 ,140.19 ,11.11 ,58.63 ,14.22 
California,6/11/2020,527.97 ,135.31 ,10.66 ,56.24 ,13.40 
California,6/12/2020,507.88 ,130.65 ,10.69 ,54.73 ,12.94 
California,6/13/2020,488.34 ,125.75 ,9.77 ,52.62 ,12.46 
California,6/14/2020,468.21 ,121.48 ,9.36 ,50.83 ,11.99 
California,6/15/2020,451.11 ,117.36 ,9.00 ,48.89 ,11.57 
California,6/16/2020,434.46 ,113.23 ,8.61 ,46.65 ,11.10 
California,6/17/2020,419.80 ,109.19 ,8.34 ,45.84 ,10.79 
California,6/18/2020,404.36 ,104.98 ,8.04 ,42.78 ,10.21 
California,6/19/2020,390.50 ,101.11 ,7.76 ,42.81 ,10.02 
California,6/20/2020,374.97 ,97.00 ,7.47 ,39.10 ,9.38 
California,6/21/2020,359.63 ,93.04 ,7.17 ,37.60 ,8.95 
California,6/22/2020,344.97 ,89.37 ,6.97 ,36.36 ,8.75 
California,6/23/2020,330.76 ,85.44 ,6.57 ,34.61 ,8.25 
California,6/24/2020,316.30 ,81.96 ,6.54 ,33.27 ,7.88 
California,6/25/2020,302.97 ,78.43 ,5.96 ,31.68 ,7.60 
California,6/26/2020,289.04 ,75.30 ,5.75 ,30.34 ,7.24 
California,6/27/2020,276.97 ,72.23 ,5.55 ,29.07 ,6.91 
California,6/28/2020,265.23 ,69.17 ,5.30 ,27.65 ,6.60 
California,6/29/2020,253.97 ,66.30 ,5.08 ,26.72 ,6.36 
California,6/30/2020,243.08 ,63.45 ,4.87 ,25.32 ,6.04 
California,7/1/2020,232.64 ,60.73 ,4.65 ,24.38 ,5.80 
California,7/2/2020,222.41 ,58.15 ,4.44 ,22.98 ,5.55 
California,7/3/2020,212.77 ,55.57 ,4.25 ,22.13 ,5.28 
California,7/4/2020,203.59 ,53.18 ,4.08 ,21.38 ,5.06 
California,7/5/2020,194.91 ,50.73 ,3.89 ,20.36 ,4.82 
California,7/6/2020,186.62 ,48.54 ,3.71 ,19.72 ,4.65 
California,7/7/2020,178.55 ,46.47 ,3.55 ,18.60 ,4.45 
California,7/8/2020,170.86 ,44.45 ,3.38 ,17.91 ,4.26 
California,7/9/2020,163.50 ,42.56 ,3.24 ,16.95 ,4.08 
California,7/10/2020,156.45 ,40.72 ,3.11 ,16.21 ,3.88 
California,7/11/2020,149.48 ,38.96 ,2.98 ,15.49 ,3.69 
California,7/12/2020,142.62 ,37.23 ,2.85 ,14.56 ,3.53 
California,7/13/2020,136.04 ,35.60 ,2.72 ,14.12 ,3.37 
California,7/14/2020,129.89 ,34.00 ,2.60 ,13.38 ,3.20 
California,7/15/2020,123.95 ,32.44 ,2.47 ,12.85 ,3.04 
California,7/16/2020,118.25 ,30.97 ,2.35 ,12.11 ,2.91 
California,7/17/2020,112.71 ,29.56 ,2.24 ,11.48 ,2.76 
California,7/18/2020,107.29 ,28.26 ,2.15 ,10.88 ,2.65 
California,7/19/2020,103.25 ,27.06 ,2.05 ,11.33 ,2.62 
California,7/20/2020,98.45 ,25.83 ,1.94 ,10.06 ,2.42 
California,7/21/2020,94.03 ,24.64 ,1.85 ,9.68 ,2.29 
California,7/22/2020,89.73 ,23.53 ,1.76 ,9.20 ,2.22 
California,7/23/2020,85.62 ,22.44 ,1.68 ,8.68 ,2.07 
California,7/24/2020,81.60 ,21.38 ,1.72 ,8.12 ,1.96 
California,7/25/2020,77.65 ,20.24 ,1.55 ,7.69 ,1.86 
California,7/26/2020,73.22 ,19.24 ,1.48 ,7.38 ,1.77 
California,7/27/2020,69.58 ,18.29 ,1.38 ,6.99 ,1.69 
California,7/28/2020,66.13 ,17.45 ,1.32 ,6.76 ,1.63 
California,7/29/2020,62.99 ,16.63 ,1.25 ,6.60 ,1.56 
California,7/30/2020,59.99 ,15.87 ,1.18 ,6.19 ,1.49 
California,7/31/2020,51.39 ,14.24 ,1.12 ,0.00 ,0.51 
California,8/1/2020,43.26 ,12.71 ,1.07 ,0.00 ,0.50 
California,8/2/2020,35.43 ,11.23 ,1.04 ,0.00 ,0.46 
California,8/3/2020,28.01 ,9.37 ,1.00 ,0.00 ,0.00 
California,8/4/2020,20.83 ,7.53 ,0.96 ,0.00 ,0.00 
Massachusetts,6/1/2020,1173.67 ,467.34 ,86.11 ,159.27 ,70.45 
Massachusetts,6/2/2020,1129.42 ,449.47 ,82.14 ,155.10 ,68.24 
Massachusetts,6/3/2020,1086.62 ,432.72 ,79.20 ,148.04 ,65.39 
Massachusetts,6/4/2020,1042.91 ,415.53 ,76.30 ,140.43 ,62.00 
Massachusetts,6/5/2020,999.27 ,397.70 ,73.15 ,133.06 ,58.47 
Massachusetts,6/6/2020,955.41 ,380.31 ,70.45 ,126.46 ,55.76 
Massachusetts,6/7/2020,906.51 ,360.46 ,68.24 ,114.61 ,50.60 
Massachusetts,6/8/2020,857.31 ,339.89 ,65.39 ,107.86 ,47.68 
Massachusetts,6/9/2020,807.05 ,319.50 ,62.00 ,101.99 ,45.00 
Massachusetts,6/10/2020,758.98 ,300.28 ,58.47 ,96.59 ,42.79 
Massachusetts,6/11/2020,713.53 ,282.00 ,55.76 ,91.44 ,40.19 
Massachusetts,6/12/2020,670.94 ,264.82 ,50.60 ,87.76 ,38.58 
Massachusetts,6/13/2020,630.45 ,250.00 ,47.68 ,80.81 ,35.78 
Massachusetts,6/14/2020,600.03 ,237.98 ,45.00 ,81.27 ,35.65 
Massachusetts,6/15/2020,567.21 ,224.67 ,42.79 ,72.35 ,31.69 
Massachusetts,6/16/2020,535.06 ,211.68 ,40.19 ,67.63 ,29.81 
Massachusetts,6/17/2020,508.17 ,201.11 ,38.58 ,67.10 ,29.61 
Massachusetts,6/18/2020,477.89 ,188.77 ,35.78 ,59.55 ,26.24 
Massachusetts,6/19/2020,448.76 ,177.62 ,35.65 ,55.83 ,24.63 
Massachusetts,6/20/2020,423.18 ,166.15 ,31.69 ,55.10 ,24.18 
Massachusetts,6/21/2020,395.19 ,156.03 ,29.81 ,49.32 ,21.57 
Massachusetts,6/22/2020,370.73 ,146.43 ,29.61 ,46.01 ,20.20 
Massachusetts,6/23/2020,345.87 ,135.68 ,26.24 ,42.57 ,18.87 
Massachusetts,6/24/2020,322.08 ,127.07 ,24.63 ,39.94 ,17.63 
Massachusetts,6/25/2020,302.16 ,119.17 ,24.18 ,38.03 ,16.73 
Massachusetts,6/26/2020,281.69 ,110.40 ,21.57 ,34.90 ,15.41 
Massachusetts,6/27/2020,261.82 ,103.19 ,20.20 ,32.62 ,14.36 
Massachusetts,6/28/2020,244.37 ,96.39 ,18.87 ,30.50 ,13.40 
Massachusetts,6/29/2020,227.70 ,90.02 ,17.63 ,28.01 ,12.50 
Massachusetts,6/30/2020,212.65 ,84.02 ,16.73 ,26.28 ,11.63 
Massachusetts,7/1/2020,198.24 ,78.12 ,15.41 ,24.63 ,10.83 
Massachusetts,7/2/2020,184.43 ,72.77 ,14.36 ,22.89 ,10.06 
Massachusetts,7/3/2020,171.87 ,67.76 ,13.40 ,21.30 ,9.35 
Massachusetts,7/4/2020,159.49 ,63.06 ,12.50 ,19.27 ,8.70 
Massachusetts,7/5/2020,150.87 ,59.74 ,11.63 ,20.98 ,9.18 
Massachusetts,7/6/2020,140.86 ,55.66 ,10.83 ,17.13 ,7.55 
Massachusetts,7/7/2020,131.40 ,51.82 ,10.06 ,16.02 ,6.99 
Massachusetts,7/8/2020,122.24 ,48.29 ,9.35 ,14.71 ,6.53 
Massachusetts,7/9/2020,113.83 ,44.99 ,8.70 ,13.77 ,6.05 
Massachusetts,7/10/2020,105.93 ,41.89 ,9.18 ,12.75 ,5.61 
Massachusetts,7/11/2020,98.01 ,37.92 ,7.55 ,11.83 ,5.20 
Massachusetts,7/12/2020,89.46 ,35.20 ,6.99 ,10.81 ,4.83 
Massachusetts,7/13/2020,82.87 ,32.68 ,6.53 ,9.98 ,4.47 
Massachusetts,7/14/2020,76.69 ,30.29 ,6.05 ,9.38 ,4.14 
Massachusetts,7/15/2020,71.16 ,28.07 ,5.61 ,8.70 ,3.83 
Massachusetts,7/16/2020,67.32 ,26.66 ,5.20 ,9.49 ,4.19 
Massachusetts,7/17/2020,62.55 ,24.75 ,4.83 ,7.57 ,3.29 
Massachusetts,7/18/2020,57.99 ,22.97 ,4.47 ,6.90 ,3.04 
Massachusetts,7/19/2020,53.89 ,21.30 ,4.14 ,6.34 ,2.80 
Massachusetts,7/20/2020,50.12 ,19.74 ,3.83 ,5.89 ,2.58 
Massachusetts,7/21/2020,46.49 ,18.31 ,4.19 ,5.43 ,2.40 
Massachusetts,7/22/2020,42.51 ,16.33 ,3.29 ,5.08 ,2.22 
Massachusetts,7/23/2020,38.48 ,15.09 ,3.04 ,4.55 ,2.05 
Massachusetts,7/24/2020,35.35 ,13.95 ,2.80 ,4.20 ,1.90 
Massachusetts,7/25/2020,32.61 ,12.89 ,2.58 ,3.92 ,1.74 
Massachusetts,7/26/2020,30.02 ,11.89 ,2.40 ,3.52 ,1.59 
Massachusetts,7/27/2020,27.65 ,10.97 ,2.22 ,3.33 ,1.47 
Massachusetts,7/28/2020,25.44 ,10.11 ,2.05 ,3.05 ,1.36 
Massachusetts,7/29/2020,23.38 ,9.31 ,1.90 ,2.85 ,1.25 
Massachusetts,7/30/2020,21.59 ,8.56 ,1.74 ,2.61 ,1.15 
Massachusetts,7/31/2020,17.55 ,6.81 ,1.59 ,0.00 ,0.00 
Massachusetts,8/1/2020,13.78 ,5.23 ,1.47 ,0.00 ,0.00 
Massachusetts,8/2/2020,10.37 ,3.76 ,1.36 ,0.00 ,0.00 
Massachusetts,8/3/2020,7.16 ,2.40 ,1.25 ,0.00 ,0.00 
Massachusetts,8/4/2020,4.21 ,1.15 ,1.15 ,0.00 ,0.00 
New Jersey,6/1/2020,3243.66 ,1000.23 ,103.59 ,355.43 ,110.96 
New Jersey,6/2/2020,3109.01 ,963.05 ,99.48 ,335.63 ,105.56 
New Jersey,6/3/2020,2973.32 ,925.27 ,96.26 ,317.52 ,99.77 
New Jersey,6/4/2020,2840.16 ,886.63 ,92.12 ,301.78 ,94.69 
New Jersey,6/5/2020,2698.75 ,845.38 ,87.53 ,277.08 ,87.40 
New Jersey,6/6/2020,2554.07 ,803.64 ,83.12 ,255.29 ,81.34 
New Jersey,6/7/2020,2409.46 ,761.72 ,79.02 ,237.14 ,75.99 
New Jersey,6/8/2020,2267.56 ,719.62 ,74.50 ,222.62 ,70.93 
New Jersey,6/9/2020,2128.08 ,677.23 ,70.81 ,205.36 ,65.28 
New Jersey,6/10/2020,1992.58 ,635.48 ,64.59 ,192.45 ,60.88 
New Jersey,6/11/2020,1863.51 ,597.32 ,59.91 ,180.88 ,57.56 
New Jersey,6/12/2020,1742.32 ,560.17 ,55.59 ,166.43 ,52.97 
New Jersey,6/13/2020,1633.08 ,525.68 ,52.13 ,157.67 ,49.90 
New Jersey,6/14/2020,1528.60 ,491.95 ,48.06 ,144.92 ,46.23 
New Jersey,6/15/2020,1429.63 ,460.41 ,44.79 ,135.54 ,43.06 
New Jersey,6/16/2020,1341.01 ,431.32 ,42.40 ,129.73 ,40.97 
New Jersey,6/17/2020,1252.59 ,402.35 ,39.03 ,117.48 ,37.30 
New Jersey,6/18/2020,1168.34 ,375.25 ,36.94 ,108.98 ,34.74 
New Jersey,6/19/2020,1090.52 ,349.46 ,34.10 ,101.71 ,32.57 
New Jersey,6/20/2020,1014.82 ,324.91 ,31.72 ,93.78 ,29.97 
New Jersey,6/21/2020,946.51 ,302.43 ,30.34 ,88.29 ,28.04 
New Jersey,6/22/2020,881.32 ,281.08 ,27.51 ,82.60 ,26.20 
New Jersey,6/23/2020,818.49 ,261.66 ,25.56 ,76.69 ,24.19 
New Jersey,6/24/2020,761.97 ,243.53 ,23.76 ,71.59 ,22.58 
New Jersey,6/25/2020,710.52 ,227.08 ,22.15 ,67.16 ,21.25 
New Jersey,6/26/2020,661.87 ,211.59 ,20.66 ,61.70 ,19.62 
New Jersey,6/27/2020,617.62 ,197.02 ,19.24 ,57.86 ,18.21 
New Jersey,6/28/2020,574.97 ,183.37 ,17.91 ,53.48 ,16.93 
New Jersey,6/29/2020,534.46 ,170.51 ,16.67 ,49.12 ,15.68 
New Jersey,6/30/2020,496.23 ,158.53 ,15.67 ,45.02 ,14.49 
New Jersey,7/1/2020,460.45 ,147.15 ,14.47 ,42.12 ,13.47 
New Jersey,7/2/2020,426.27 ,136.25 ,13.39 ,38.61 ,12.39 
New Jersey,7/3/2020,395.04 ,126.39 ,12.42 ,35.82 ,11.35 
New Jersey,7/4/2020,365.36 ,117.17 ,11.49 ,33.12 ,10.59 
New Jersey,7/5/2020,337.90 ,108.51 ,10.60 ,30.59 ,9.79 
New Jersey,7/6/2020,312.80 ,100.68 ,9.79 ,28.61 ,9.05 
New Jersey,7/7/2020,290.35 ,93.44 ,9.05 ,26.59 ,8.46 
New Jersey,7/8/2020,268.49 ,86.53 ,8.35 ,24.05 ,7.73 
New Jersey,7/9/2020,249.38 ,80.24 ,7.73 ,23.12 ,7.21 
New Jersey,7/10/2020,230.99 ,74.37 ,7.16 ,20.68 ,6.68 
New Jersey,7/11/2020,213.95 ,68.87 ,6.64 ,19.11 ,6.17 
New Jersey,7/12/2020,197.97 ,63.78 ,6.16 ,17.63 ,5.74 
New Jersey,7/13/2020,183.27 ,59.00 ,5.69 ,16.65 ,5.26 
New Jersey,7/14/2020,169.46 ,54.54 ,5.28 ,15.32 ,4.91 
New Jersey,7/15/2020,157.06 ,50.45 ,4.88 ,14.12 ,4.52 
New Jersey,7/16/2020,146.08 ,47.12 ,4.53 ,14.38 ,4.54 
New Jersey,7/17/2020,134.96 ,43.59 ,4.18 ,11.72 ,3.86 
New Jersey,7/18/2020,124.99 ,40.36 ,3.88 ,11.14 ,3.59 
New Jersey,7/19/2020,115.99 ,37.45 ,3.59 ,10.47 ,3.37 
New Jersey,7/20/2020,107.16 ,34.59 ,3.32 ,9.39 ,3.04 
New Jersey,7/21/2020,98.92 ,32.03 ,3.41 ,8.64 ,2.80 
New Jersey,7/22/2020,91.19 ,29.31 ,2.83 ,8.16 ,2.62 
New Jersey,7/23/2020,83.37 ,27.10 ,2.61 ,7.43 ,2.42 
New Jersey,7/24/2020,77.10 ,25.00 ,2.41 ,6.73 ,2.15 
New Jersey,7/25/2020,71.14 ,23.06 ,2.23 ,6.27 ,2.04 
New Jersey,7/26/2020,65.48 ,21.31 ,2.06 ,5.83 ,1.86 
New Jersey,7/27/2020,62.71 ,20.17 ,1.89 ,7.57 ,2.24 
New Jersey,7/28/2020,57.89 ,18.67 ,1.75 ,4.75 ,1.59 
New Jersey,7/29/2020,53.33 ,17.28 ,1.61 ,4.46 ,1.50 
New Jersey,7/30/2020,49.37 ,16.10 ,1.48 ,4.20 ,1.46 
New Jersey,7/31/2020,41.87 ,13.98 ,1.36 ,0.00 ,0.34 
New Jersey,8/1/2020,34.97 ,11.96 ,1.81 ,0.00 ,0.29 
New Jersey,8/2/2020,27.97 ,9.65 ,1.15 ,0.00 ,0.31 
New Jersey,8/3/2020,20.52 ,7.76 ,1.07 ,0.00 ,0.00 
New Jersey,8/4/2020,15.21 ,5.96 ,0.97 ,0.00 ,0.00 
New York,6/1/2020,1907.52 ,603.57 ,99.75 ,230.20 ,80.33 
New York,6/2/2020,1796.80 ,569.82 ,95.21 ,211.53 ,73.79 
New York,6/3/2020,1699.62 ,538.80 ,90.11 ,204.96 ,71.77 
New York,6/4/2020,1592.58 ,504.63 ,83.92 ,181.16 ,63.26 
New York,6/5/2020,1487.10 ,471.78 ,80.85 ,165.45 ,58.00 
New York,6/6/2020,1384.88 ,437.68 ,76.10 ,153.28 ,53.29 
New York,6/7/2020,1289.84 ,407.57 ,69.79 ,149.21 ,52.27 
